,confidence,idx,peak
"ws=222, sr_orig",1.4746395377913954,105331.0,0.6967172732221593
"ws=296, sr_orig",1.464133347137805,105332.0,0.5528983393503056
"ws=244, sr_orig",1.4382995103961194,105332.0,0.6515623153604245
"ws=269, sr_orig",1.430123795757755,105329.0,0.6188515457612768
"ws=244, sr_diff",1.423885593085848,105343.0,0.7330752580405763
"ws=269, sr_diff",1.391691584145278,105328.0,0.6707732936003478
"ws=222, sr_diff",1.3624023181889697,105331.0,0.7608030477391863
"ws=244, sr_acc",1.3527032436003046,105343.0,0.7991122018882795
"ws=269, sr_acc",1.3419718176911566,105330.0,0.7218416440749121
"ws=222, sr_acc",1.3397014286906952,105332.0,0.8149541259694107
"ws=296, sr_diff",1.3281501194590277,105347.0,0.6064435568066465
"ws=296, sr_acc",1.3056261037852537,105350.0,0.6928441347086319
"ws=202, sr_orig",1.290218350302359,105330.0,0.6433579628963566
"ws=325, sr_orig",1.2769147398736715,105329.0,0.4437886886782339
"ws=202, sr_acc",1.2597978799407956,105344.0,0.797481452040439
"ws=325, sr_acc",1.2473986751084747,105379.0,0.5649395766219751
"ws=202, sr_diff",1.2306442661495571,105350.0,0.7337669841698077
"ws=183, sr_acc",1.2080477309620605,105333.0,0.8178161464992154
"ws=325, sr_diff",1.1977255476193613,105376.0,0.48649580919841146
"ws=183, sr_orig",1.166229646544594,105332.0,0.6568494365746617
"ws=183, sr_diff",1.1565370661998553,105334.0,0.785434418616143
"ws=358, sr_orig",1.139430819609885,105331.0,0.3427277491018917
"ws=167, sr_acc",1.1364205348198793,105344.0,0.8237009035159831
"ws=634, sr_orig",1.1123311646793483,58989.0,0.36110475731435515
"ws=358, sr_diff",1.1113020520350112,105357.0,0.3744391539755614
"ws=167, sr_orig",1.1085976964686475,105327.0,0.5956829077642914
"ws=358, sr_acc",1.103530756775312,105415.0,0.44621555962084436
"ws=167, sr_diff",1.0883305968341062,105343.0,0.716517133994359
"ws=576, sr_orig",1.0803764359550272,59047.0,0.332683465897172
"ws=433, sr_orig",1.0671535383210442,58996.0,0.3125669885708039
"ws=697, sr_orig",1.0610259391061827,58989.0,0.37741572901667847
"ws=634, sr_diff",1.056944530213737,58986.0,0.3710467784783403
"ws=767, sr_acc",1.0556839630734174,58997.0,0.3854883933147253
"ws=476, sr_acc",1.0551078664028106,59056.0,0.311048265249261
"ws=476, sr_orig",1.0533238112940149,58990.0,0.3256194087457069
"ws=138, sr_orig",1.0524535791088445,70189.0,0.6974935792573834
"ws=697, sr_acc",1.0520721187947306,59048.0,0.3653641921192641
"ws=138, sr_diff",1.0515387160691827,70189.0,0.8281987146923314
"ws=524, sr_orig",1.0488306968762808,59047.0,0.32426205175891837
"ws=576, sr_acc",1.0418828138342855,59047.0,0.31281880796130346
"ws=634, sr_acc",1.0378351954508214,58985.0,0.34468901375264627
"ws=767, sr_orig",1.0330892457303276,58993.0,0.38502380998348257
"ws=697, sr_diff",1.0285765473333612,58992.0,0.3892835348583914
"ws=576, sr_diff",1.0227102629905074,59046.0,0.3389317749240528
"ws=524, sr_acc",1.020416786580482,59056.0,0.3170170135953335
"ws=151, sr_diff",1.0203255935149196,70201.0,0.7331192093906295
"ws=151, sr_acc",1.0160177439257345,105343.0,0.7757485434605789
"ws=767, sr_diff",1.0155538063614349,58994.0,0.4041038153158457
"ws=393, sr_orig",1.015446631950444,58887.0,0.2899847920533801
"ws=151, sr_orig",1.0148848904877503,105331.0,0.5993868640273617
"ws=393, sr_diff",1.0127695022642955,93358.0,0.3046710199556366
"ws=476, sr_diff",1.0122638321177533,59056.0,0.33532773077887607
"ws=125, sr_orig",1.0107588395890688,70188.0,0.7489716617627766
"ws=433, sr_diff",1.0043443357145583,58981.0,0.3065998032534829
"ws=524, sr_diff",1.0027773780353237,93431.0,0.3482047874776606
