,confidence,idx,peak
"ws=40, diff_p2p",2.5201925485200363,4187.0,8.443462524999948
"ws=44, diff_p2p",2.4432253919897753,4187.0,8.465281840909034
"ws=48, diff_p2p",2.381073357109501,4187.0,8.483464604166613
"ws=53, diff_p2p",2.2948013467199235,4187.0,8.502333509433912
"ws=476, acc_p2p",2.2832272161788545,4186.0,8.337069546218213
"ws=524, acc_p2p",2.2791093380402145,4186.0,8.337692396946418
"ws=576, acc_p2p",2.2754358887532433,4186.0,8.338250006944227
"ws=433, acc_p2p",2.2722008263551943,4186.0,8.336394311777987
"ws=634, acc_p2p",2.2721611985640298,4186.0,8.339134075709651
"ws=697, acc_p2p",2.2691308350436192,4186.0,8.339562053084688
"ws=767, acc_p2p",2.257805189488091,4186.0,8.339955125163133
"ws=393, acc_p2p",2.250053744960559,4186.0,8.335633529261873
"ws=358, acc_p2p",2.2498562107769438,4186.0,8.33482838547467
"ws=325, acc_p2p",2.2496309915173565,4186.0,8.333910415384361
"ws=296, acc_p2p",2.2493916104003113,4186.0,8.332934743243072
"ws=269, acc_p2p",2.2491223350633325,4186.0,8.33183725278809
"ws=244, acc_p2p",2.2488198626513696,4186.0,8.330604491803284
"ws=222, acc_p2p",2.248497325430402,4186.0,8.329289990991
"ws=202, acc_p2p",2.248143133465778,4186.0,8.32784652475253
"ws=58, diff_p2p",2.2209615836006655,4187.0,8.51794915517243
"ws=53, acc_p2p",2.199845771849494,4186.0,8.263565490566046
"ws=48, acc_p2p",2.1997745509993845,4186.0,8.254354375000027
"ws=44, acc_p2p",2.198148118686944,4186.0,8.24621668181819
"ws=40, acc_p2p",2.196195340121456,4186.0,8.236451449999997
"ws=58, acc_p2p",2.1930980585776885,4186.0,8.270488206896502
"ws=183, acc_p2p",2.186575267693778,4186.0,8.322689153005477
"ws=64, acc_p2p",2.1864444812398087,4186.0,8.27736765624994
"ws=70, acc_p2p",2.1809703298756866,4186.0,8.283067771428538
"ws=77, acc_p2p",2.1756953138850723,4186.0,8.288595155844188
"ws=85, acc_p2p",2.170760227799344,4186.0,8.293797400000045
"ws=94, acc_p2p",2.1662375601606163,4186.0,8.298591489361723
"ws=103, acc_p2p",2.1634847213566206,4186.0,8.306238786407826
"ws=64, diff_p2p",2.1634229913244485,4187.0,8.533467203125019
"ws=114, acc_p2p",2.1596632900533392,4186.0,8.309869771929888
"ws=125, acc_p2p",2.1553671733133655,4186.0,8.312861704000063
"ws=138, acc_p2p",2.152428809997653,4186.0,8.315782681159488
"ws=151, acc_p2p",2.150003999949121,4186.0,8.318200708609353
"ws=167, acc_p2p",2.1475449022507562,4186.0,8.32065994610782
"ws=767, diff_p2p",2.146309130639794,4187.0,8.671916722294196
"ws=70, diff_p2p",2.128367889487208,4187.0,8.546325014285731
"ws=697, diff_p2p",2.1239058059517917,4187.0,8.670755919655164
"ws=77, diff_p2p",2.1023544697653795,4187.0,8.5587931948052
"ws=634, diff_p2p",2.08755158872605,4187.0,8.669492036277086
"ws=85, diff_p2p",2.07851227484542,4187.0,8.570527952941202
"ws=576, diff_p2p",2.067923485945852,4187.0,8.668084029513377
"ws=94, diff_p2p",2.057070429105399,4187.0,8.581342031914923
"ws=103, diff_p2p",2.039745628871528,4187.0,8.590266271844635
"ws=114, diff_p2p",2.0226139713996227,4187.0,8.599260096491179
"ws=125, diff_p2p",2.0077518616427303,4187.0,8.606671007999985
"ws=524, diff_p2p",1.99994574403055,4187.0,8.666556681297378
"ws=138, diff_p2p",1.9734655481709567,4187.0,8.613906166666709
"ws=151, diff_p2p",1.9409915781265932,4187.0,8.61989553642381
"ws=476, diff_p2p",1.9328344541505327,4187.0,8.664850632352673
"ws=167, diff_p2p",1.9081424809025789,4187.0,8.625986982035954
"ws=183, diff_p2p",1.8906554856481141,4187.0,8.631013256830666
"ws=202, diff_p2p",1.8867636148801792,4187.0,8.636164237623877
"ws=222, diff_p2p",1.8858400715621908,4187.0,8.64042646846861
"ws=244, diff_p2p",1.885000618980612,4187.0,8.64430789344277
"ws=269, diff_p2p",1.8842147288458788,4187.0,8.647947959107944
"ws=296, diff_p2p",1.883516181231999,4187.0,8.651188601351345
"ws=325, diff_p2p",1.882840802179404,4187.0,8.654069541538483
"ws=358, diff_p2p",1.8806113206713624,4187.0,8.656780100558684
"ws=393, diff_p2p",1.8799913245151223,4187.0,8.660917241730308
"ws=433, diff_p2p",1.879677991954785,4187.0,8.663001099307184
"ws=138, orig_mp_novelty",1.7646436598073378,4194.0,2.1863572254206702
"ws=151, orig_mp_novelty",1.76448394398044,4193.0,2.155606789038674
"ws=151, orig_mp_outlier",1.7090624958162992,4193.0,2.147130628995047
"ws=125, orig_mp_novelty",1.7038826134529315,4203.0,2.2101148987894064
"ws=167, orig_mp_outlier",1.687530501601768,4192.0,2.13412870089153
"ws=167, orig_mp_novelty",1.6729833154715517,4192.0,2.134128700891564
"ws=138, orig_mp_outlier",1.642103524432035,4194.0,2.161768750505693
"ws=114, orig_mp_novelty",1.620199188855641,4213.0,2.2748261878923013
"ws=183, orig_mp_outlier",1.601030739324427,4191.0,2.174549362574593
"ws=183, orig_mp_novelty",1.5222534395577718,4191.0,2.1745493625743793
"ws=125, orig_mp_outlier",1.521479215087025,4201.0,2.1527844249178223
"ws=103, orig_mp_novelty",1.5081684490311558,4220.0,2.3422881388917833
"ws=40, acc_std",1.4862925738590385,4186.0,1.169698413938565
"ws=202, orig_mp_outlier",1.4771969192089776,4191.0,2.310859918785577
"ws=202, orig_mp_novelty",1.4708021492085377,4191.0,2.312408044023438
"ws=325, orig_mp_novelty",1.469254944451585,4210.0,3.430316742901855
"ws=358, orig_mp_novelty",1.4667814485908788,4212.0,3.643180151208388
"ws=44, acc_std",1.4614865669903665,4186.0,1.1263353743458866
"ws=393, orig_mp_novelty",1.4429978284165452,4215.0,3.900136074645146
"ws=48, acc_std",1.4368736912777378,4186.0,1.088285177963172
"ws=296, orig_mp_novelty",1.4296433221719806,4232.0,3.1633206524703255
"ws=114, orig_mp_outlier",1.424662083411288,4210.0,2.141401190426434
"ws=222, orig_mp_novelty",1.4101084081125812,4192.0,2.492042672777442
"ws=53, acc_std",1.4074574457308948,4186.0,1.047706287532864
"ws=103, orig_mp_outlier",1.406137686124315,4217.0,2.1764173959653164
"ws=433, orig_mp_novelty",1.4048903921137794,4267.0,4.116800655854313
"ws=244, orig_mp_novelty",1.389409778191347,4192.0,2.6639326990841807
"ws=269, orig_mp_novelty",1.3893952207185143,4241.0,2.8927886924603365
"ws=58, acc_std",1.3726661923439518,4186.0,1.012535565159425
"ws=476, orig_mp_novelty",1.3642954293858995,4228.0,4.2908929485778495
"ws=222, orig_mp_outlier",1.3617714982490692,4192.0,2.4794242457796636
"ws=524, orig_mp_novelty",1.360754024705354,4242.0,4.413842985806373
"ws=64, acc_std",1.3378986567565743,4186.0,0.9772915241162079
"ws=94, orig_mp_novelty",1.3215057286213798,4227.0,2.2909925799624653
"ws=70, acc_std",1.314557759779205,4186.0,0.9484806126362842
"ws=244, orig_mp_outlier",1.3067961050836339,4192.0,2.6415533253059227
"ws=77, acc_std",1.2955385170406255,4186.0,0.9208097250539775
"ws=85, acc_std",1.2775297665181102,4186.0,0.8933699114379783
"ws=269, orig_mp_outlier",1.2647641090843935,4193.0,2.8245853677589
"ws=94, acc_std",1.2604365068865062,4186.0,0.8670884291390859
"ws=296, orig_mp_outlier",1.253175876964776,4216.0,3.047332759083057
"ws=94, orig_mp_outlier",1.248376729374158,4224.0,2.1269716857466476
"ws=103, acc_std",1.2481191051543814,4186.0,0.8453615198246539
"ws=358, orig_mp_outlier",1.248081303709582,4210.0,3.391655166803923
"ws=393, orig_mp_outlier",1.2442200333033975,4196.0,3.5976156990265307
"ws=433, orig_mp_outlier",1.2385368681715208,4213.0,3.790110672388172
"ws=325, orig_mp_outlier",1.2347491899083636,4205.0,3.2059358334998818
"ws=114, acc_std",1.2322311400059522,4186.0,0.8221933028945103
"ws=476, orig_mp_outlier",1.2221396428407545,4211.0,3.955631891951478
"ws=125, acc_std",1.2188982421051928,4186.0,0.8026874225094371
"ws=202, acc_std",1.2133584459174733,4186.0,0.7165781593164915
"ws=524, orig_mp_outlier",1.2072753441502817,4216.0,4.082367136214493
"ws=138, acc_std",1.2050140441034756,4186.0,0.78310036081812
"ws=151, acc_std",1.1947282995333177,4186.0,0.7667177569071251
"ws=183, acc_std",1.194004229201439,4186.0,0.7326670263000755
"ws=222, acc_std",1.1905365699053088,4186.0,0.7020409953542477
"ws=167, acc_std",1.1853769527360885,4186.0,0.748989283245956
"ws=576, orig_mp_outlier",1.1812398710777978,4210.0,4.234215609610878
"ws=244, acc_std",1.1703892229662796,4186.0,0.6876564245024314
"ws=634, orig_mp_outlier",1.1553285644685056,4197.0,4.419516801855627
"ws=269, acc_std",1.1523346673796677,4186.0,0.6750226480171302
"ws=296, acc_std",1.1358014921570183,4186.0,0.6640270308727312
"ws=433, acc_std",1.1270129026651887,4186.0,0.6313409476919801
"ws=325, acc_std",1.1240051883931008,4186.0,0.6550981514846527
"ws=476, acc_std",1.1165086929087844,4186.0,0.6248695614631882
"ws=358, acc_std",1.1148693178849192,4186.0,0.6467986003193457
"ws=634, diff_small",1.1082248907199894,4963.0,0.10974833066305761
"ws=393, acc_std",1.1077773478230446,4186.0,0.6389173688949263
"ws=524, acc_std",1.1076219644471406,4186.0,0.6188636769766312
"ws=576, acc_std",1.0979072052205026,4186.0,0.6129975182906355
"ws=358, diff_small",1.0924182536830718,4841.0,0.11860584875628116
"ws=634, acc_std",1.091140814222792,4186.0,0.6077903619908817
"ws=325, diff_small",1.0869528261793322,4835.0,0.12106982248520652
"ws=697, acc_std",1.082364564370615,4186.0,0.6032931349848879
"ws=393, diff_small",1.0815675415362536,4962.0,0.11632966221859674
"ws=576, diff_small",1.0809069072587776,4967.0,0.11121961805555593
"ws=296, diff_small",1.0785033743549062,4834.0,0.1240298575602633
"ws=269, diff_small",1.0757327080891022,4826.0,0.12680864001326683
"ws=433, diff_small",1.0756061355764512,4969.0,0.11594280197771659
"ws=767, acc_std",1.0752318088011639,4186.0,0.59969480890729
"ws=244, diff_small",1.0721490613617222,4834.0,0.12854407417360889
"ws=476, diff_small",1.0714609706816187,4983.0,0.11468116658428072
"ws=44, diff_small",1.0709534368070937,6430.0,0.24948347107438174
"ws=524, diff_small",1.0697489727564622,4983.0,0.112832148476196
"ws=48, diff_small",1.0607210626185912,6430.0,0.24262152777777857
"ws=125, orig_p2p_inv",1.0599787745148919,6777.0,1.2037095889409097
"ws=85, orig_mp_novelty",1.058524074314448,4237.0,2.1732116118465297
"ws=138, orig_p2p_inv",1.0552596684701694,6779.0,1.1983475973497772
"ws=697, diff_small",1.0546263682956443,4711.0,0.10292728212116518
"ws=524, acc_std_inv",1.0543948580248341,5403.0,0.7713994417366022
"ws=85, diff_small",1.0540123456790105,6430.0,0.1890657439446358
"ws=151, orig_p2p_inv",1.052900448630368,6782.0,1.1886376489490336
"ws=94, diff_small",1.052561543579517,6430.0,0.17904028972385827
"ws=167, orig_p2p_inv",1.0525283463494184,6788.0,1.1720264524080055
"ws=58, acc_std_inv",1.0525245093717723,7109.0,1.229284680014659
"ws=94, orig_p2p_inv",1.0524984038249452,6682.0,1.3675701510997311
"ws=53, diff_small",1.0514469453376174,6430.0,0.23282306870772698
"ws=767, orig_p2p",1.0512560766251082,3977.0,50.860121796612646
"ws=53, acc_std_inv",1.0511788362843906,7105.0,1.24836007690214
"ws=202, diff_small",1.0505090054815989,4840.0,0.13150671502793845
"ws=697, orig_p2p",1.050380984156094,3977.0,50.819508921093025
"ws=103, orig_p2p_inv",1.0497004720036727,6690.0,1.2809636971375316
"ws=634, orig_p2p",1.0495769033005187,3977.0,50.7752895709771
"ws=77, diff_small",1.0491510277033052,6430.0,0.1980097824253681
"ws=64, acc_std_inv",1.0489304025430501,7114.0,1.2113029084728475
"ws=114, orig_p2p_inv",1.048382028913544,6703.0,1.217746319253753
"ws=222, diff_small",1.0479541734860855,4836.0,0.1299204610015423
"ws=48, acc_std_inv",1.04762753191979,7101.0,1.273373538771601
"ws=70, acc_std_inv",1.0458821209986835,7121.0,1.196504562021839
"ws=85, orig_mp_outlier",1.0452998665132864,4193.0,2.1214165497374697
"ws=85, orig_p2p_inv",1.0451343078463373,6676.0,1.5058493215630853
"ws=476, orig_p2p",1.0449971218438587,3970.0,50.34435682142746
"ws=40, orig_mp_novelty",1.0446581965072326,6256.0,4.091985937458057
"ws=70, diff_small",1.0444214876033018,6432.0,0.20632653061224343
"ws=64, diff_small",1.0439429928741093,6432.0,0.214599609375
"ws=44, acc_std_inv",1.0434254579781916,7097.0,1.298571964532196
"ws=183, orig_p2p_inv",1.04318939528258,6767.0,1.1441850183901479
"ws=58, diff_small",1.0429958391123446,6430.0,0.22354340071343712
"ws=103, diff_small",1.0429234338747113,6430.0,0.16947874446224911
"ws=77, acc_std_inv",1.0429046848028982,7134.0,1.1843122060596512
"ws=524, orig_p2p",1.042356565990268,3977.0,50.567128637403535
"ws=697, orig_mp_outlier",1.0417765741590408,4189.0,4.184298203537295
"ws=40, diff_small",1.0409207161125322,6428.0,0.2543750000000003
"ws=183, diff_small",1.0395970009372082,4841.0,0.1324912657887657
"ws=44, orig_mp_novelty",1.039078916923457,6255.0,4.115812547335332
"ws=40, acc_std_inv",1.0389189409382522,7093.0,1.3307595878187461
"ws=576, orig_p2p",1.0386648003658372,3977.0,50.7260277916657
"ws=85, acc_std_inv",1.037352495094397,7140.0,1.172110300032784
"ws=103, acc_std_inv",1.0342893066487404,6632.0,1.1168851182449324
"ws=269, orig_p2p_inv",1.033650719621784,5700.0,0.9945738133915483
"ws=114, acc_std_inv",1.032484318887923,6633.0,1.108205886119247
"ws=433, acc_std_inv",1.0306006949249609,5685.0,0.8500014605905795
"ws=325, acc_std_inv",1.030385318063332,5507.0,0.9153416610665274
"ws=114, diff_small",1.0297176820208054,6437.0,0.15997229916897585
"ws=358, acc_std_inv",1.029548789026132,5546.0,0.893913380803496
"ws=393, acc_std_inv",1.0295297883194023,5612.0,0.8726796822174441
"ws=125, acc_std_inv",1.0288389688329542,6632.0,1.0979425493805801
"ws=697, high_fft",1.02831673778215,4553.0,11.540898955660687
"ws=202, acc_std_inv",1.027550007390781,6606.0,1.0362691878038115
"ws=222, acc_std_inv",1.0273363995512153,6610.0,1.0179663603926448
