,confidence,idx,peak
"ws=40, acc_p2p",8.703003841844128,124974.0,1087.3533000000007
"ws=44, acc_p2p",8.667390514120253,124974.0,1088.1514818181824
"ws=48, acc_p2p",8.658581577203496,124974.0,1088.816633333334
"ws=53, acc_p2p",8.65725110944533,124974.0,1089.506884905661
"ws=58, acc_p2p",8.656151615553178,124974.0,1090.0781275862078
"ws=64, acc_p2p",8.655060410673594,124974.0,1090.645800000001
"ws=70, acc_p2p",8.654157337744792,124974.0,1091.1161571428581
"ws=77, acc_p2p",8.6532825536384,124974.0,1091.572261038962
"ws=85, acc_p2p",8.652460056303418,124974.0,1092.0015352941186
"ws=94, acc_p2p",8.651702800620166,124974.0,1092.3971297872351
"ws=103, acc_p2p",8.651078393543491,124974.0,1092.7235912621368
"ws=114, acc_p2p",8.647087950369253,124974.0,1093.052598245615
"ws=125, acc_p2p",8.613297104646243,124974.0,1093.3237000000001
"ws=138, acc_p2p",8.580577405048942,124974.0,1093.5883724637667
"ws=151, acc_p2p",8.553690898639013,124974.0,1093.807472185428
"ws=167, acc_p2p",8.52652938733221,124974.0,1094.0303059880207
"ws=183, acc_p2p",8.504255240805184,124974.0,1094.2141743169357
"ws=202, acc_p2p",8.482507850630743,124974.0,1094.3946861386087
"ws=222, acc_p2p",8.44256026767093,124974.0,1094.5513180180121
"ws=244, acc_p2p",8.362302614771865,124974.0,1094.6939557376984
"ws=269, acc_p2p",8.297981992922109,124974.0,1094.827723791815
"ws=296, acc_p2p",8.241559106536037,124974.0,1094.9468135135053
"ws=325, acc_p2p",8.192049519376692,124974.0,1095.052684615376
"ws=358, acc_p2p",8.173596153204532,124974.0,1095.1522944133985
"ws=393, acc_p2p",8.161156494353397,124974.0,1095.2396613231454
"ws=433, acc_p2p",8.11930383714624,124974.0,1095.322214549644
"ws=476, acc_p2p",8.068537392606748,124974.0,1095.3954848739409
"ws=524, acc_p2p",8.022274898817164,124974.0,1095.463070992357
"ws=576, acc_p2p",7.981310721657987,124974.0,1095.5235777777593
"ws=634, acc_p2p",7.943920146481763,124974.0,1095.5793567823098
"ws=697, acc_p2p",7.910657194089712,124974.0,1095.6294262553506
"ws=767, acc_p2p",7.880354239573689,124974.0,1095.6754121251288
"ws=40, acc_std",4.960746602066458,124974.0,129.28929912400014
"ws=44, acc_std",4.824657511325728,124974.0,123.49340611257325
"ws=48, acc_std",4.717683792346237,124974.0,118.41041223531859
"ws=53, acc_std",4.594754866875681,124974.0,112.86078390515934
"ws=58, acc_std",4.471619693838031,124974.0,108.0384847802793
"ws=64, acc_std",4.346789984429121,124974.0,103.00216742569557
"ws=70, acc_std",4.2413591729431195,124974.0,98.62937701156149
"ws=77, acc_std",4.129877214940295,124974.0,94.18342978108161
"ws=85, acc_std",4.009817922208495,124974.0,89.7919513813035
"ws=94, acc_std",3.8908300668282543,124974.0,85.53402656794407
"ws=103, acc_std",3.7888537570730745,124974.0,81.85522902631128
"ws=114, acc_std",3.675830522001823,124974.0,77.96077660875632
"ws=125, acc_std",3.5792188992732124,124974.0,74.58530945893578
"ws=138, acc_std",3.4807901352677124,124974.0,71.12810236769978
"ws=151, acc_std",3.3941710109038747,124974.0,68.13476598870389
"ws=167, acc_std",3.302641830220582,124974.0,64.97878292457051
"ws=183, acc_std",3.2231531123884825,124974.0,62.256128071044245
"ws=202, acc_std",3.1423101689594026,124974.0,59.47312188457756
"ws=222, acc_std",3.065054550994153,124974.0,56.975133270986646
"ws=244, acc_std",2.978306132171568,124974.0,54.59228790020457
"ws=269, acc_std",2.8710070740083005,124974.0,52.24086416341182
"ws=296, acc_std",2.7597223947194482,124974.0,50.04699175723646
"ws=325, acc_std",2.6610919350608304,124974.0,47.988568492684
"ws=358, acc_std",2.5656577064871633,124974.0,45.96391958974614
"ws=393, acc_std",2.4665649233730553,124974.0,44.116537127487945
"ws=433, acc_std",2.3697398657881834,124974.0,42.32144725123131
"ws=476, acc_std",2.2802439177156937,124974.0,40.65799650620286
"ws=524, acc_std",2.19813746129871,124974.0,39.034421439906765
"ws=40, diff_p2p",2.151451689671575,124973.0,904.0399999999997
"ws=44, diff_p2p",2.134676382340326,124973.0,905.4909090909089
"ws=48, diff_p2p",2.120935672514613,124973.0,906.6999999999994
"ws=576, acc_std",2.1202056261483575,124974.0,37.52457693055456
"ws=53, diff_p2p",2.1069001751313436,124973.0,907.9547169811311
"ws=58, diff_p2p",2.095453100158977,124973.0,908.9931034482752
"ws=64, diff_p2p",2.0842255940452286,124973.0,910.0249999999994
"ws=70, diff_p2p",2.0750325436084314,124973.0,910.8799999999992
"ws=77, diff_p2p",2.0662114433717944,124973.0,911.70909090909
"ws=85, diff_p2p",2.0579919337720347,124973.0,912.4894117647052
"ws=94, diff_p2p",2.050487292184227,124973.0,913.2085106382973
"ws=634, acc_std",2.045114197136008,124974.0,36.09912670908701
"ws=103, diff_p2p",2.044344048653354,124973.0,913.8019417475729
"ws=114, diff_p2p",2.0327925117004777,124973.0,914.4000000000001
"ws=358, diff_p2p",2.0302548311228406,124973.0,935.5731843575343
"ws=125, diff_p2p",2.0256766331302343,124973.0,914.8927999999999
"ws=167, diff_p2p",2.0220372906352058,124973.0,919.5305389221571
"ws=138, diff_p2p",2.021533734477025,124973.0,915.3739130434781
"ws=151, diff_p2p",2.0193812025685958,124973.0,916.3443708609271
"ws=325, diff_p2p",2.0163005073984697,124973.0,934.1489230769196
"ws=296, diff_p2p",2.013331777473094,124973.0,932.6351351351357
"ws=393, diff_p2p",2.01274436912309,124973.0,936.8223918574953
"ws=269, diff_p2p",2.0099913314283935,124973.0,930.932342007438
"ws=244, diff_p2p",2.0062378305660826,124973.0,929.0196721311504
"ws=222, diff_p2p",2.0022338976454606,124973.0,926.9801801801827
"ws=202, diff_p2p",1.9978352941176505,124973.0,924.7405940594082
"ws=183, diff_p2p",1.9974811798683796,124973.0,922.1595628415319
"ws=433, diff_p2p",1.9956730202397024,124973.0,938.1967667436346
"ws=476, diff_p2p",1.9804029271576822,124973.0,939.2268907562866
"ws=697, acc_std",1.9767717863445047,124974.0,34.75679901441163
"ws=524, diff_p2p",1.9665522361844803,124973.0,940.1770992366246
"ws=576, diff_p2p",1.9543389532283986,124973.0,941.0277777777602
"ws=634, diff_p2p",1.9385390559054225,124973.0,941.8119873816848
"ws=697, diff_p2p",1.9248883627711428,124973.0,942.515925394529
"ws=767, diff_p2p",1.9138059030678216,124973.0,943.7882659712974
"ws=767, acc_std",1.9127999709368657,124974.0,33.474359135251866
"ws=222, low_fft",1.3505650384071584,67576.0,1165.8070293558608
"ws=433, low_fft",1.3495154429222218,67785.0,1109.0764870626952
"ws=70, orig_mp_outlier",1.3389913798690436,124978.0,1.915022246549974
"ws=114, orig_mp_outlier",1.3198966300265043,124978.0,3.141923452886405
"ws=77, orig_mp_outlier",1.31732690934773,124978.0,2.170803186394016
"ws=125, orig_mp_outlier",1.293030570152907,124979.0,3.3952629378563866
"ws=85, orig_mp_outlier",1.2782413298641169,124978.0,2.462269222394882
"ws=325, low_fft",1.2768661288854033,67794.0,1170.11833292568
"ws=244, low_fft",1.2760181367387813,67592.0,1188.2613192323079
"ws=634, low_fft",1.2658682951669162,67978.0,1035.1106043596383
"ws=393, low_fft",1.2646555875050014,67854.0,1084.5769383350112
"ws=524, low_fft",1.2644716883156717,68006.0,1084.3947164194815
"ws=103, orig_mp_outlier",1.2642911460132664,124978.0,2.8885885792945256
"ws=476, low_fft",1.2633958050177638,67823.0,1093.9875326615413
"ws=767, orig_mp_outlier",1.2610418380400654,124893.0,14.600881072550937
"ws=358, low_fft",1.2547001809690712,67817.0,1135.8619298058543
"ws=697, low_fft",1.2495234694726722,68043.0,1040.3911438654504
"ws=138, orig_mp_outlier",1.2484534904815305,124979.0,3.673281153478217
"ws=64, orig_mp_outlier",1.2467963250208387,124979.0,1.598409395078359
"ws=576, low_fft",1.2398386469772353,68030.0,1061.4602545350883
"ws=767, low_fft",1.2317500145629061,68014.0,1022.2739690254542
"ws=433, high_fft",1.2226186008082593,67785.0,1020.5567646412715
"ws=222, high_fft",1.2220945012057984,67576.0,1083.9295537051203
"ws=48, orig_mp_outlier",1.218126044888248,85066.0,1.8020710842656449
"ws=94, orig_mp_outlier",1.2091784767196332,124978.0,2.6911806110648895
"ws=151, orig_mp_outlier",1.2074807736598179,124978.0,3.934597405324866
"ws=634, high_fft",1.1949105589383682,67778.0,938.6503077159794
"ws=296, low_fft",1.1907548882598302,67790.0,1162.7507488672522
"ws=48, orig_mp_novelty",1.1884530204850676,85068.0,2.618765829772185
"ws=53, orig_mp_outlier",1.1873591033768196,85068.0,1.4316806992749571
"ws=44, orig_mp_outlier",1.178177076892007,85064.0,2.1327920782551466
"ws=697, high_fft",1.169112502682297,68011.0,949.4932436471369
"ws=767, high_fft",1.1675580790186217,68014.0,942.7108655401084
"ws=524, high_fft",1.1590647312548719,67793.0,991.1057731129802
"ws=167, orig_mp_outlier",1.1579164089939828,124976.0,4.20518976668874
"ws=476, high_fft",1.1567048147428858,67796.0,1000.3588859137135
"ws=576, high_fft",1.1528186524075263,67819.0,962.4716417981991
"ws=697, orig_mp_outlier",1.1525920791959292,124898.0,13.08914394891538
"ws=325, high_fft",1.1519451634151558,67794.0,1084.6580914641172
"ws=244, high_fft",1.1514766157026992,67592.0,1096.889291338154
"ws=358, high_fft",1.1505150031712397,67817.0,1040.2563670535908
"ws=44, orig_mp_novelty",1.1436144001543995,85066.0,2.76589524238978
"ws=393, high_fft",1.142294038186749,67858.0,985.7121695028385
"ws=103, orig_mp_novelty",1.1313455862370498,124950.0,5.760668818971218
"ws=296, high_fft",1.1266292437534622,67789.0,1083.7152004333784
"ws=94, orig_mp_novelty",1.1262845987644199,124949.0,5.003679173383033
"ws=183, orig_mp_outlier",1.1216315874940823,124978.0,4.500576620354291
"ws=58, orig_mp_outlier",1.1197635760173954,124979.0,1.3186692990494482
"ws=269, low_fft",1.1105858125722996,67793.0,1153.5306915994122
"ws=634, orig_mp_outlier",1.10863674109613,124969.0,11.891189046755748
"ws=40, orig_mp_outlier",1.1071247746296753,85063.0,2.4390532134976715
"ws=202, orig_mp_outlier",1.1066935260496527,124976.0,4.932362479868574
"ws=576, orig_mp_outlier",1.1003158155451647,124970.0,10.957148342460723
"ws=114, orig_mp_novelty",1.0990536319804083,124950.0,6.437248145356851
"ws=44, low_fft",1.0967272700395738,67391.0,2051.386979687922
"ws=40, orig_mp_novelty",1.0946788965749565,85066.0,2.917666355548325
"ws=393, orig_mp_outlier",1.0916506593606166,124973.0,8.395237152888598
"ws=433, orig_mp_outlier",1.091644181819619,124973.0,9.047491684189755
"ws=524, orig_mp_outlier",1.0896183778420234,124977.0,10.270049731873824
"ws=476, orig_mp_outlier",1.088741821654337,124973.0,9.663173401474085
"ws=40, low_fft",1.0868955764601982,67388.0,2180.6375231912634
"ws=48, low_fft",1.086869410496052,67395.0,1933.5542608540552
"ws=202, high_fft",1.0825151422063317,67656.0,999.6467441155974
"ws=358, orig_mp_outlier",1.0781201246017604,124974.0,7.818532915068535
"ws=53, low_fft",1.073478418127163,67399.0,1801.4212321232137
"ws=222, orig_mp_outlier",1.0734259747279673,124977.0,5.357744467623973
"ws=85, orig_mp_novelty",1.0708510079075968,124972.0,4.299601474557392
"ws=325, orig_mp_outlier",1.0700164094275044,124974.0,7.284731609468041
"ws=125, orig_mp_novelty",1.0666658053863687,124950.0,6.970727868445283
"ws=53, high_fft",1.0632186675891253,67400.0,1700.5263834874045
"ws=296, orig_mp_outlier",1.062735106428583,124974.0,6.751163510210271
"ws=48, high_fft",1.0617664104290003,67395.0,1822.4632920590884
"ws=269, high_fft",1.0596675528404171,67790.0,1068.2875584854337
"ws=358, orig_mp_novelty",1.056452572445991,124607.0,18.753342518039066
"ws=85, low_fft",1.0563153987930012,67790.0,1558.118013166476
"ws=244, orig_mp_outlier",1.0541489994253508,124976.0,5.750935625558122
"ws=202, low_fft",1.0532402728904438,67755.0,1101.5383879589285
"ws=269, orig_mp_outlier",1.0527428712053006,124974.0,6.195594397231057
"ws=94, low_fft",1.0496881352129463,67791.0,1532.9072764231873
"ws=77, low_fft",1.0494528102285496,67790.0,1575.8589129194638
"ws=44, high_fft",1.0493263377880802,67392.0,1933.3526895750163
"ws=70, low_fft",1.0453914854038002,67789.0,1590.373873829436
"ws=167, high_fft",1.0430424287258961,67621.0,1107.8753603000168
"ws=151, high_fft",1.0430044815722797,67609.0,1188.9321224512362
"ws=58, low_fft",1.042508264758808,67404.0,1682.3492742277647
"ws=244, orig_mp_novelty",1.040804351506444,124718.0,14.39358307942917
"ws=138, high_fft",1.0391638226683968,67600.0,1250.2103765703257
"ws=103, low_fft",1.037933331250663,67793.0,1501.7728347650414
"ws=40, high_fft",1.0376506991044117,67388.0,2055.25446036657
"ws=64, orig_mp_novelty",1.0358782271414804,124628.0,3.1439213506250216
"ws=70, orig_mp_novelty",1.0346135748168048,124621.0,3.412381404979256
"ws=64, low_fft",1.033911349276882,67789.0,1602.4664913059783
"ws=53, orig_p2p_inv",1.033043883748222,84857.0,4.696005963231343
"ws=222, orig_mp_novelty",1.0323774462851352,124709.0,13.209874521788041
"ws=44, orig_p2p_inv",1.0323660687992964,85086.0,7.415334019343508
"ws=183, high_fft",1.0308213272068194,67645.0,1054.6748335726481
"ws=77, high_fft",1.0306586237440878,67789.0,1492.1415744193375
"ws=70, high_fft",1.0306145893435616,67789.0,1513.797674794353
"ws=58, high_fft",1.0286406292296661,67405.0,1591.0701289613376
"ws=125, high_fft",1.0281427979065179,67591.0,1311.07344694431
"ws=269, orig_mp_novelty",1.0280294033199582,124704.0,15.334561099543386
"ws=524, orig_p2p_inv",1.026704718957049,97650.0,1.2664704538294569
"ws=151, orig_p2p_inv",1.0259075999465792,77886.0,1.248713399898968
"ws=85, high_fft",1.0254616428364929,67790.0,1465.7974683523908
"ws=40, orig_p2p_inv",1.0245902409511265,85085.0,8.436351662987766
"ws=58, orig_mp_novelty",1.0234090494782242,124632.0,2.821672140618595
"ws=202, orig_mp_novelty",1.022790010235419,124691.0,12.042756715731686
"ws=576, orig_p2p_inv",1.022745317355622,97696.0,1.2539534558265866
"ws=183, diff_small",1.0227040294538756,58628.0,0.2986055122577562
"ws=524, acc_std_inv",1.0225714361209064,61312.0,1.1589240738799476
"ws=64, high_fft",1.022268855365376,67788.0,1531.0068117170938
"ws=114, low_fft",1.0214667652838751,67797.0,1454.5600418082724
"ws=296, diff_small",1.0209415169830764,58627.0,0.27376278305331875
"ws=476, acc_std_inv",1.0207209580493344,61275.0,1.1624530131817763
"ws=77, orig_mp_novelty",1.020717738723111,124617.0,3.744679902957078
"ws=202, diff_small",1.020495751948847,58629.0,0.2855357317910007
"ws=114, diff_small",1.0202342917997869,74227.0,0.36857494613725955
"ws=296, orig_mp_novelty",1.019747956080628,124697.0,16.475565728631356
"ws=48, diff_small",1.0197119029567792,58625.0,0.5837673611111242
"ws=125, diff_small",1.019677000185634,74228.0,0.35155199999999137
"ws=576, acc_std_inv",1.0191224524239468,61375.0,1.153905389311822
"ws=103, diff_small",1.0191082802547695,74227.0,0.3921198981996407
"ws=325, orig_mp_novelty",1.018088911566488,124695.0,17.62041406679167
"ws=183, low_fft",1.0178901602402215,67859.0,1154.1784171009967
"ws=634, orig_p2p_inv",1.0178763731173013,97752.0,1.2411532460162138
"ws=433, acc_std_inv",1.0172268312689374,61258.0,1.1656472283274437
"ws=167, diff_small",1.017182535012358,58628.0,0.3099071318440847
"ws=634, acc_std_inv",1.016094871556519,61417.0,1.148206821707312
"ws=53, diff_small",1.0160771704179707,58625.0,0.5624777500889839
"ws=269, diff_small",1.0160768401047466,58628.0,0.2733793065325129
"ws=767, diff_small",1.015199923211933,52000.0,0.2517011196877725
"ws=94, high_fft",1.014572523165154,67792.0,1431.3908855042605
"ws=393, orig_mp_novelty",1.0145086361808722,124383.0,19.9084361760536
"ws=114, high_fft",1.0144162944848008,67586.0,1355.7170905212643
"ws=393, orig_p2p_inv",1.0142795857522566,97575.0,1.3058898733675623
"ws=358, orig_p2p_inv",1.0142122682173533,97565.0,1.314775587800569
"ws=183, orig_mp_novelty",1.0142035845764767,124694.0,11.01188091813433
"ws=433, orig_p2p_inv",1.0141789131515455,97601.0,1.2949511656508657
"ws=325, orig_p2p_inv",1.0138863856040057,97556.0,1.322209093014803
"ws=393, acc_std_inv",1.013701651624443,61238.0,1.1688169453856827
"ws=697, diff_small",1.0137012243822494,51894.0,0.25341852456417996
"ws=476, orig_p2p_inv",1.0135229229899754,97626.0,1.2819453967651808
"ws=697, acc_std_inv",1.0134127885599618,61448.0,1.141720770737867
"ws=393, diff_small",1.0132448691604974,52116.0,0.26499362249027164
"ws=40, diff_small",1.013211382113831,83681.0,0.6231250000000156
"ws=634, diff_small",1.012718287953045,51892.0,0.2559434365950465
