,confidence,idx,peak
"ws=767, orig_mp_novelty",1.6526331497044986,134199.0,28.036631936139138
"ws=697, orig_mp_novelty",1.5855974275624047,134198.0,26.383146654361468
"ws=77, acc_std_inv",1.4917266744360937,203520.0,6.136499733987257
"ws=70, acc_std_inv",1.4795639551419388,203515.0,7.2224223254424995
"ws=85, acc_std_inv",1.4404130316837023,203524.0,5.081421469639002
"ws=64, acc_std_inv",1.4141400359525766,203513.0,8.174896181405089
"ws=94, acc_std_inv",1.3602425898403534,203529.0,4.228011788816833
"ws=58, acc_std_inv",1.31771563546056,203509.0,9.104284365273697
"ws=103, acc_std_inv",1.285919733978528,203533.0,3.622487313945434
"ws=767, acc_std",1.2840630099158286,169926.0,662.4251697741192
"ws=524, orig_mp_outlier",1.2739404332378852,133803.0,12.104148903538512
"ws=697, acc_std",1.2719099434769658,169926.0,674.9658650204871
"ws=476, orig_mp_outlier",1.2716683726200895,133806.0,11.235203600191584
"ws=576, orig_mp_outlier",1.2695587174753293,133810.0,12.96646636490474
"ws=634, acc_std",1.255957819552282,169925.0,685.4193883371628
"ws=433, orig_mp_novelty",1.2504478740833342,134531.0,17.62467971582373
"ws=433, orig_mp_outlier",1.245929707932344,133805.0,10.379746173340331
"ws=53, acc_std_inv",1.2412460481451064,203504.0,9.75142346437386
"ws=576, acc_std",1.2342106482165855,169925.0,693.7397545565555
"ws=358, orig_mp_novelty",1.2239148999795764,134466.0,13.419336076688191
"ws=125, orig_mp_outlier",1.2212255243087402,203360.0,3.662176630786145
"ws=476, orig_mp_novelty",1.217362911713202,134529.0,20.033049470660053
"ws=114, acc_std_inv",1.2134750644203551,203538.0,3.10369287687737
"ws=524, acc_std",1.2091316120714073,169925.0,697.7913744415373
"ws=358, orig_mp_outlier",1.2090003060079013,133790.0,8.606409668562975
"ws=634, orig_mp_outlier",1.2055839004320004,133804.0,13.862464299390538
"ws=393, orig_mp_outlier",1.2039919881353025,133802.0,9.417164838244487
"ws=393, orig_mp_novelty",1.1998696677209495,134539.0,15.224741684565169
"ws=524, orig_mp_novelty",1.1992694777426938,134477.0,22.353973620249068
"ws=634, orig_mp_novelty",1.192746726269966,134449.0,25.39337796201233
"ws=576, orig_mp_novelty",1.1918208220933688,134466.0,24.422041914652297
"ws=476, acc_std",1.184938945086038,169926.0,701.8719943289245
"ws=433, acc_std",1.1637574515125602,169926.0,706.6626319571205
"ws=125, acc_std_inv",1.1567136542927816,203542.0,2.75484246520175
"ws=77, orig_p2p_inv",1.1536622634978642,174782.0,3.8171536055728263
"ws=85, orig_p2p_inv",1.1524278574810731,174779.0,3.427607560892376
"ws=697, orig_mp_outlier",1.1454870058553326,133707.0,14.88844442789838
"ws=138, orig_mp_outlier",1.1453889845123315,203362.0,3.9417697879211433
"ws=94, orig_p2p_inv",1.1437357948084639,174773.0,3.051809875569324
"ws=48, acc_std_inv",1.134574681996052,203498.0,9.9306140670433
"ws=325, orig_mp_novelty",1.1316397088442836,134529.0,11.569688487547566
"ws=103, orig_p2p_inv",1.1300091771864436,174767.0,2.75289921018843
"ws=70, orig_p2p_inv",1.129141053808271,174785.0,4.134319289625912
"ws=269, orig_mp_novelty",1.1269825525470212,134530.0,8.217946244917458
"ws=296, orig_mp_novelty",1.1256038269278712,134529.0,10.066417879534317
"ws=114, orig_p2p_inv",1.121283676226988,174767.0,2.4480853431201886
"ws=325, orig_mp_outlier",1.1127593899750086,133812.0,7.793165111796278
"ws=138, acc_std_inv",1.1075045686783365,203548.0,2.4753666467306146
"ws=125, orig_p2p_inv",1.1044350595324863,174769.0,2.181010986659374
"ws=151, orig_mp_outlier",1.098437341616722,203362.0,4.18632394191743
"ws=40, orig_mp_outlier",1.0958346023607461,169631.0,3.428818164428504
"ws=114, orig_mp_outlier",1.092235462860335,203359.0,3.2818571585333856
"ws=44, orig_mp_outlier",1.0911399642913422,169632.0,3.5845077215591434
"ws=269, acc_std_inv",1.0908671177425797,203509.0,1.952872704990937
"ws=244, acc_std_inv",1.0907594790444284,203497.0,1.9652617459944268
"ws=48, orig_mp_outlier",1.0903846797044614,169627.0,3.765633476053447
"ws=222, acc_std_inv",1.0893231667828087,203514.0,1.9715663689518257
"ws=296, acc_std_inv",1.0867014685890861,203526.0,1.9340022755197241
"ws=138, orig_p2p_inv",1.0839886032627175,174775.0,1.906529931990498
