Unnamed: 0,confidence,idx,peak
"ws=40, orig_mp_outlier",4.5818025899817485,8515.0,5.942807450288394
"ws=44, orig_mp_outlier",4.3405377023773,8515.0,6.005076811188692
"ws=48, orig_mp_outlier",4.1171620716906805,8515.0,6.033162958595986
"ws=53, orig_mp_outlier",3.893178800036482,8515.0,6.138786353026284
"ws=40, orig_mp_novelty",3.7483183527205535,8515.0,6.299863395738837
"ws=58, orig_mp_outlier",3.7103672216642742,8515.0,6.2979564493166365
"ws=44, orig_mp_novelty",3.567548474899084,8515.0,6.365785471700536
"ws=64, orig_mp_outlier",3.54849060475585,8515.0,6.45510422665848
"ws=70, orig_mp_outlier",3.4510395644292338,8515.0,6.599212673601854
"ws=48, orig_mp_novelty",3.4083625437750382,8515.0,6.408606407127742
"ws=77, orig_mp_outlier",3.376329211542446,8515.0,6.774752542665162
"ws=85, orig_mp_outlier",3.2973813996667007,8515.0,6.9910092916734925
"ws=53, orig_mp_novelty",3.2682011107089033,8514.0,6.535339994706451
"ws=94, orig_mp_outlier",3.212540053978752,8515.0,7.220235618267293
"ws=58, orig_mp_novelty",3.1697006619585215,8515.0,6.702534880140287
"ws=64, orig_mp_novelty",3.075299830173975,8515.0,6.890275773411
"ws=103, orig_mp_outlier",3.068582849101913,8515.0,7.396356293120968
"ws=70, orig_mp_novelty",2.9901873102602328,8515.0,7.032973147155666
"ws=114, orig_mp_outlier",2.944215873198817,8515.0,7.60248370037075
"ws=77, orig_mp_novelty",2.884437411226716,8515.0,7.171695222938133
"ws=125, orig_mp_outlier",2.8519023954610114,8515.0,7.815569279662247
"ws=202, orig_mp_outlier",2.83238934519608,8515.0,8.747102382325169
"ws=85, orig_mp_novelty",2.8130415994102638,8515.0,7.356522260622714
"ws=138, orig_mp_outlier",2.755096471690887,8515.0,8.000239153969808
"ws=94, orig_mp_novelty",2.7379509827287603,8515.0,7.546292343419193
"ws=103, orig_mp_novelty",2.7059878241280417,8515.0,7.700328031717008
"ws=222, orig_mp_outlier",2.6782783544228064,8515.0,8.950648448891087
"ws=151, orig_mp_outlier",2.6774282513042196,8515.0,8.172192658610571
"ws=114, orig_mp_novelty",2.6639044418760154,8514.0,7.889207135698693
"ws=202, orig_mp_novelty",2.658515809671284,8514.0,9.128459219560392
"ws=125, orig_mp_novelty",2.6289277672178195,8514.0,8.063027639286297
"ws=138, orig_mp_novelty",2.5933222655161017,8514.0,8.268385931804715
"ws=167, orig_mp_outlier",2.5874282930163024,8515.0,8.365468512038206
"ws=222, orig_mp_novelty",2.57443854093271,8514.0,9.371955251543858
"ws=151, orig_mp_novelty",2.5670230471324453,8514.0,8.480476821325034
"ws=183, orig_mp_outlier",2.536056825452679,8515.0,8.549912090955717
"ws=244, orig_mp_outlier",2.5340158588286466,8515.0,9.132461929278227
"ws=167, orig_mp_novelty",2.523251001927712,8514.0,8.704291073229026
"ws=244, orig_mp_novelty",2.4848620026978248,8514.0,9.58358324530376
"ws=183, orig_mp_novelty",2.475537412126627,8514.0,8.894965462946917
"ws=269, orig_mp_outlier",2.380739318880593,8515.0,9.321089031082096
"ws=269, orig_mp_novelty",2.3773986245134764,8514.0,9.829340543045461
"ws=296, orig_mp_outlier",2.2689201852770844,8515.0,9.494693877092693
"ws=296, orig_mp_novelty",2.253584650514446,8514.0,10.050114074243293
"ws=697, sr_orig",2.1584361586341627,6986.0,0.05278924974351988
"ws=325, orig_mp_novelty",2.1241740230009416,8514.0,10.299574468300912
"ws=634, sr_orig",2.082447048670901,6934.0,0.0544339481414873
"ws=358, orig_mp_novelty",2.018408873636065,8515.0,10.577985541584518
"ws=767, sr_orig",1.9646427670658844,7060.0,0.05010061856176761
"ws=325, orig_mp_outlier",1.9424397225533672,8510.0,8.596610710254765
"ws=576, sr_orig",1.917506043704614,6878.0,0.048147517240730735
"ws=634, sr_diff",1.8812446209897025,6935.0,0.05960477669826506
"ws=393, orig_mp_novelty",1.8485127521995228,8510.0,10.336456081765938
"ws=767, sr_diff",1.8428969045341304,7033.0,0.059702790264899885
"ws=576, sr_acc",1.7580253572088336,7741.0,0.04362095333698319
